<hgeokg/resource/3974095816>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/7139389687>
<hgeokg/resource/266170765>	<hgeokg/schema/rooms>	rooms-200
<hgeokg/resource/657134182>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/266149300>
<hgeokg/resource/2774949518>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/569345542>
<hgeokg/resource/167922072>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5825512054>
<hgeokg/resource/266034046>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266033991>
<hgeokg/resource/2716231115>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4708892893>
<hgeokg/resource/657134182>	<Polygon_landuse-Intersect-Polygon_buildings>	<hgeokg/resource/266034046>
<hgeokg/resource/4755575515>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041026>
<hgeokg/resource/4708888897>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/PublicTransportPlatform>
<hgeokg/resource/3576199>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1426250385>
<hgeokg/resource/2722857810>	<hgeokg/schema/website>	website-http://www.danielarestaurant.com/
<hgeokg/resource/1487449793>	<Point_pofw-Adjacent-Point_pois>	<hgeokg/resource/357620498>
<hgeokg/resource/4661316591>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/260180778>
<hgeokg/resource/266149330>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5671182>
<hgeokg/resource/3679391773>	<Point_transport-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/266149300>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5671182>
<hgeokg/resource/7139389687>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/167922072>
<hgeokg/resource/3922485803>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2676979157>
<hgeokg/resource/266034080>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/5172045822>
<hgeokg/resource/1752822408>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2678466842>
<hgeokg/resource/2676979157>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/420494981>
<hgeokg/resource/163629929>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/266170825>
<hgeokg/resource/266170755>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170540>
<hgeokg/resource/1487449793>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/368051649>
<hgeokg/resource/1753205377>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/42496352>
<hgeokg/resource/569345544>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/266034047>
<hgeokg/resource/569345542>	<hgeokg/schema/wikipedia>	wikipedia-en:Seventh Avenue (Manhattan)
<hgeokg/resource/420494981>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/266170540>
<hgeokg/resource/266149329>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2678650716>
<hgeokg/resource/46695596>	<Line_roads-Intersect-Line_railway>	<hgeokg/resource/477374247>
<hgeokg/resource/5172045822>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/266170540>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170800>
<hgeokg/resource/719086606>	<hgeokg/schema/frequency>	frequency-0
<hgeokg/resource/357620498>	<Point_pofw-Adjacent-Point_pois>	<hgeokg/resource/1752843998>
<hgeokg/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2610440256>
<hgeokg/resource/3679394774>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/BusStop>
<hgeokg/resource/657134182>	<Point_transport-Adjacent-Polygon_landuse>	<hgeokg/resource/5341456858>
<hgeokg/resource/3974095815>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/86121620>
<hgeokg/resource/569345542>	<hgeokg/schema/cyclewayLeft>	cyclewayLeft-track
<hgeokg/resource/1426275725>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/7613305940>
<hgeokg/resource/525428785>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/266149373>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/813741990>
<hgeokg/resource/2678466842>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1426250385>
<hgeokg/resource/226041025>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/368051649>
<hgeokg/resource/266149373>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/1752822408>
<hgeokg/resource/4213575394>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/194926851>
<hgeokg/resource/266170751>	<hgeokg/schema/startDate>	startDate-1903
<hgeokg/resource/5172045822>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/4213575394>	<hgeokg/schema/addrPostcode>	addrPostcode-10036
<hgeokg/resource/266149373>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/569345543>
<hgeokg/resource/682360554>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/137716320>
